constraint	pos0	pos1	pos10	pos11	pos12	pos13	pos14	pos2	pos3	pos4	pos5	pos6	pos7	pos8	pos9
[*strength.s=>-u]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[*strength.w=>-p]	0.00515463917526	0.0	0.00515463917526	0.0025974025974	0.00268096514745	0.0	0.00704225352113	0.00429184549356	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[*stress.s=>-u]	0.0309278350515	0.0309278350515	0.0283505154639	0.0805194805195	0.029490616622	0.075208913649	0.0281690140845	0.115879828326	0.01875	0.104838709677	0.0227272727273	0.194444444444	0.0	0.0714285714286	0.0
[*posthoc-no-final-ww]	0.0	0.0	0.00257731958763	0.0	0.00268096514745	0.00278551532033	0.00704225352113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[*footmin-no-s-unless-preceded-by-ww]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[*posthoc-standardize-weakpos]	0.0	0.0	0.0	0.012987012987	0.0134048257373	0.122562674095	0.080985915493	0.107296137339	0.15625	0.201612903226	0.0909090909091	0.361111111111	0.0666666666667	0.142857142857	1.0
[*stress.w=>-p]	0.0876288659794	0.0231958762887	0.0541237113402	0.0285714285714	0.0616621983914	0.0222841225627	0.0492957746479	0.0300429184549	0.08125	0.0	0.0681818181818	0.0277777777778	0.0666666666667	0.0	0.0
[*footmin-none]	0.0567010309278	0.121134020619	0.157216494845	0.0909090909091	0.120643431635	0.0445682451253	0.0915492957746	0.00858369098712	0.08125	0.0241935483871	0.159090909091	0.0555555555556	0.0666666666667	0.0	0.0
