text_position	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
en.yeats.early_pos0	0.0037037037037	0.0925925925926	0.062962962963	0.0555555555556	0.0	0.0	0.0	0.0
en.yeats.early_pos1	0.0037037037037	0.0407407407407	0.0222222222222	0.137037037037	0.0	0.0	0.0	0.0
en.yeats.early_pos2	0.0037037037037	0.0111111111111	0.0851851851852	0.111111111111	0.0	0.0	0.0	0.0
en.yeats.early_pos3	0.0	0.0792452830189	0.0188679245283	0.0716981132075	0.0	0.0	0.00754716981132	0.0
en.yeats.early_pos4	0.00772200772201	0.042471042471	0.042471042471	0.0694980694981	0.0	0.0	0.015444015444	0.0
en.yeats.early_pos5	0.00793650793651	0.0793650793651	0.0277777777778	0.0555555555556	0.0	0.00396825396825	0.0833333333333	0.0
en.yeats.early_pos6	0.0	0.0330188679245	0.0283018867925	0.0660377358491	0.0	0.0	0.0896226415094	0.0
en.yeats.early_pos7	0.0	0.0548780487805	0.00609756097561	0.0365853658537	0.0	0.0	0.134146341463	0.0
en.yeats.early_pos8	0.0263157894737	0.0526315789474	0.0657894736842	0.0131578947368	0.0	0.0	0.157894736842	0.0
en.yeats.early_pos9	0.0	0.0819672131148	0.0	0.0	0.0	0.0	0.147540983607	0.0
en.yeats.early_pos10	0.0	0.357142857143	0.0	0.0	0.0	0.0	0.142857142857	0.0
en.yeats.early_pos11	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
en.yeats.late_pos0	0.0	0.00515463917526	0.0309278350515	0.0	0.0	0.0	0.0876288659794	0.0567010309278
en.yeats.late_pos1	0.0	0.0	0.0309278350515	0.0	0.0	0.0	0.0231958762887	0.121134020619
en.yeats.late_pos2	0.0	0.00515463917526	0.0283505154639	0.00257731958763	0.0	0.0	0.0541237113402	0.157216494845
en.yeats.late_pos3	0.0	0.0025974025974	0.0805194805195	0.0	0.0	0.012987012987	0.0285714285714	0.0909090909091
en.yeats.late_pos4	0.0	0.00268096514745	0.029490616622	0.00268096514745	0.0	0.0134048257373	0.0616621983914	0.120643431635
en.yeats.late_pos5	0.0	0.0	0.075208913649	0.00278551532033	0.0	0.122562674095	0.0222841225627	0.0445682451253
en.yeats.late_pos6	0.0	0.00704225352113	0.0281690140845	0.00704225352113	0.0	0.080985915493	0.0492957746479	0.0915492957746
en.yeats.late_pos7	0.0	0.00429184549356	0.115879828326	0.0	0.0	0.107296137339	0.0300429184549	0.00858369098712
en.yeats.late_pos8	0.0	0.0	0.01875	0.0	0.0	0.15625	0.08125	0.08125
en.yeats.late_pos9	0.0	0.0	0.104838709677	0.0	0.0	0.201612903226	0.0	0.0241935483871
en.yeats.late_pos10	0.0	0.0	0.0227272727273	0.0	0.0	0.0909090909091	0.0681818181818	0.159090909091
en.yeats.late_pos11	0.0	0.0	0.194444444444	0.0	0.0	0.361111111111	0.0277777777778	0.0555555555556
en.yeats.late_pos12	0.0	0.0	0.0	0.0	0.0	0.0666666666667	0.0666666666667	0.0666666666667
en.yeats.late_pos13	0.0	0.0	0.0714285714286	0.0	0.0	0.142857142857	0.0	0.0
en.yeats.late_pos14	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
