line	strength.s=>-u	stress.w=>-p	stress.s=>-u	strength.w=>-p	footmin-no-s
line000005_the|PATH|and.the|CON|sec|RAT|ion	0	0	0	0	0
line000007_ONL|y.its	0	0	0	0	0
line000009_emb|RACE	0	0	0	0	0
line000004_the|STR|uggle|AND|the|CROWN	0	0	1	0	0
line000010_the|FET|ters|AND|the|FRE|edom	0	0	1	0	0
line000003_the|SU|ff|ERING|and.the|LAU|rels	0	0	1	0	0
line000001_ONL|y|PROSE|can|THEN	0	0	0	0	0
line000008_with|EQU|al|PO|wer	0	0	0	0	0
line000002_en|CO|mpass	0	0	0	0	0
line000006_with|EQU|al|PO|wer	0	0	0	0	0
